id,isbn,title,isbn13,asin,kindle_asin,marketplace_id,country_code,publication_date,publisher,language_code,is_ebook,books_count,best_book_id,reviews_count,ratings_sum,ratings_count,text_reviews_count,original_publication_date,original_title,media_type,num_ratings_5,num_ratings_4,num_ratings_3,num_ratings_2,num_ratings_1,average_rating,num_pages,format,edition_information,ratings_count_global,text_reviews_count_global,authors,illustrator,contributor,editor,translator,narrator,to_read,read,currently_reading,genres
2246001,0947752226,A Stranger In My House: Jews And Arabs In The West Bank,9780947752224,,,,ES,1985/1/1,Firethorn Press,,false,3,522890,6,2,1,1,1984/1/1,A Stranger in My House: Jews and Arabs in the West Bank,,0,0,0,1,0,2.00,182,Hardcover,,0,0,Walter Reich,,,,,,4,0,,
2246501,0439341477,Naughty Nautical Neighbors (Spongebob Squarepants),9780439341479,,,,ES,2001/1/1,Scholastic,eng,false,10,1305888,190,442,103,9,2000/9/1,Naughty Nautical Neighbors (SpongeBob SquarePants),book,63,14,19,7,0,4.29,,Paperback,,1,0,Annie Auerbach,,,,,,43,10,2,"childrens,fiction"
2247001,0316111201,The Bionic Bunny Show,9780316111201,,,,ES,1984/4/1,Little Brown and Company,,false,6,1808102,206,348,89,10,1984/1/1,Bionic Bunny Show (Reading Rainbow),book,29,26,31,3,0,3.91,,Hardcover,,7,1,"Laurene Krasny Brown,Marc Brown",,,,,,70,21,,"animals,childrens,humor,literature,picture-books,school"
2249001,1425955053,Follow the Wind of Your Soul,9781425955052,,,,ES,2006/10/20,Authorhouse,,false,1,2249001,0,0,0,0,2006/10/20,Follow The Wind Of Your Soul,,0,0,0,0,0,0.00,660,Paperback,,0,0,George C. Kottis,,,,,,,0,,
2249501,,دیوان دهخدا,,,,,ES,1361/1/1,تیراژه / چاپ سوم,per,false,1,2249501,54,85,23,4,1360/1/1,دیوان دهخدا,,8,5,6,3,1,3.70,213,Hard Cover,,23,4,"سیدمحمد دبیرسیاقی,علی‌اکبر دهخدا",,,,,,27,1,1,poetry
2250001,0784402213,Advances in Structural Optimization,9780784402214,,,,ES,1997/1/1,American Society of Civil Engineers,,false,1,2250001,0,0,0,0,1997/1/1,Advances in Structural Optimization: Proceedings of the First U.S.-Japan Joint Seminar on Structural Optimization Held in Conjunction With the Asce Technical Committee on Optimal,book,0,0,0,0,0,0.00,,Hardcover,,0,0,"Dan M. Frangopol,Franklin Y. Cheng,U. S. -Japan Joint Seminar on Structural,U. S. -Japan Joint Seminar on Structural",,,,,,,0,,
2250501,0764107828,Barron's Pass Key to the GRE Test,9780764107825,,,,ES,2000/10/1,Barron's Educational Series,,false,8,9931977,84,90,29,3,2000/1/1,Pass Key to the GRE Test ,book,4,5,11,8,1,3.10,344,Paperback,,0,0,"Ira K. Wolf,Sharon Weiner Green",,,,,,32,0,2,"education,non-fiction,reference,textbooks"
2251001,0934134243,Signal Through the Flames: Mitch Snyder and America's Homeless,9780934134248,,,,ES,,,,false,1,2251001,10,13,3,0,1986/10/1,Signal Through the Flames: Mitch Snyder and the America's Homeless,book,1,2,0,0,0,4.33,,,,3,0,Victoria Rader,,,,,,5,0,,
2251501,4088735374,"いちご100% 温めあう? 8 [Ichigo 100% Atatameau?] (Strawberry, #8)",9784088735375,,,,ES,2003/12/4,集英社,jpn,false,7,6307313,183,459,113,1,2003/12/4,いちご 100% #8,book,48,36,18,10,1,4.06,,Paperback,,8,0,"Mizuki Kawashita,Mizuki Kawashita",,,,,,25,2,,"adult,comedy,comics,drama,graphic-novels,high-school,humor,manga,romance,school"
2252001,0716616017,Thumbelina's Song,9780716616016,,,,ES,,,,false,1,2252001,6,11,3,1,,Thumbelina's song,,0,2,1,0,0,3.67,,,,3,1,Seva Spanos,,,,,,,0,,
2252501,0300116144,Essex,9780300116144,,,,ES,2007/8/2,Yale University Press,,false,1,2252501,11,18,4,1,2007/8/2,Essex: Buildings of England Series (Buildings of England): Buildings of England Series (Buildings of England),book,2,2,0,0,0,4.50,960,Hardcover,,4,1,"James Bettley,Nikolaus Pevsner",,,,,,6,1,,
2253001,0060192895,"Hunting Badger (Navajo Mysteries, #14)",9780060192891,,,,ES,1999/11/9,HarperCollins Publishers Inc.,eng,false,27,48116,9616,26805,6667,256,1999/11/9,Hunting Badger,book,2057,2915,1504,157,34,4.02,288,Hardcover,First Edition (U.S.),165,19,Tony Hillerman,,,,,,1148,8,423,"action,adult,adult-fiction,american,crime,detective,fiction,murder-mystery,mystery,mystery-thriller,novels,thriller"
2254001,0451152700,Fear Itself,9780451152701,,,,ES,1985/10/1,Signet,,false,7,155426,999,1027,265,7,1982/1/1,Fear Itself: The Horror Fiction of Stephen King,book,103,64,73,12,13,3.88,,Paperback,,1,0,"Chuck Miller,Tim Underwood",,,,,,687,6,4,"fantasy,fiction,horror,non-fiction,reference,writing"
2255001,8301143363,Kognitywno-komunikacyjna teoria przekładu,,,,,ES,2004/1/1,PWN,,false,1,2255001,65,148,38,1,2004/1/1,Kognitywno-komunikacyjna teoria przekładu,book,7,22,7,2,0,3.89,200,Paperback,,38,1,Krzysztof Hejwowski,,,,,,14,2,1,"academic,college,non-fiction"
2255501,0801861934,Imagining Consumers: Design and Innovation from Wedgwood to Corning,9780801861932,,,,ES,1999/12/17,Johns Hopkins University Press,,false,2,1866439,31,43,10,0,1999/1/1,Imagining Consumers: Design and Innovation from Wedgwood to Corning (Studies in Industry and Society),book,5,4,0,1,0,4.30,408,Hardcover,,0,0,Regina Lee Blaszczyk,,,,,,16,1,,american-history
2256501,0893811289,Aperture Issue 92 (Fine Photography Series),9780893811280,,,,ES,,Aperture,,false,1,2256501,1,3,1,0,1984/10/1,Aperture Issue 92 (Fine Photography Series),,0,0,1,0,0,3.00,,Paperback,,1,0,"Marketa Luskacovas,Ray Metzker",,,,,,,0,,
2257501,1930879385,Boarding Pass to Success,9781930879386,,,,ES,2004/1/10,Ediciones Nuevo Espacio,,false,1,2257501,0,0,0,0,2004/1/1,Boarding Pass to Success,,0,0,0,0,0,0.00,144,Paperback,,0,0,Gustavo A. Gac-Artigas,,,,,,,0,,
2258001,0803270410,Industrial Park,9780803270411,,,,ES,1993/12/1,University of Nebraska Press,,false,8,2258001,227,389,107,9,1933/1/1,Parque Industrial,book,22,38,35,10,2,3.64,154,Paperback,,71,7,"Patrícia Galvão,Patrícia Galvão",,,,,,88,3,-1,"classics,college,fiction,history,literary-fiction,literature,novels,politics"
2258501,0415773504,International Human Resource Management: Policies and Practices for Multinational Enterprises,9780415773508,,,,ES,2008/10/1,Routledge,,false,34,9292272,125,113,28,5,1995/1/1,,,10,11,5,2,0,4.04,424,Hardcover,,0,0,Dennis R. Briscoe,,,,,,23,0,4,school
2259001,0922589615,"Angels At Advent, An Advent Calendar",9780922589616,,,,ES,,,,false,1,2259001,1,0,0,0,,"Angels at Advent, an Advent calendar",,0,0,0,0,0,0.00,,,,0,0,Berthe Amoss,,,,,,,0,,
2259501,0007718802,The Perfect Storm,9780007718801,,,,ES,,,,false,69,6545608,124937,392206,95932,1623,1997/5/1,The Perfect Storm: A True Story of Men Against the Sea,book,35346,38709,17879,3005,993,4.09,,,,10,2,Sebastian Junger,,,,,,24047,12,512,"adult,adventure,autobiography,biography,biography-memoir,contemporary,fiction,historical,historical-fiction,history,memoir,movies,nature,non-fiction,novels,science,social,survival,thriller,travel"
2260001,1891152041,Western Montana,9781891152047,,,,ES,2008/2/6,Northern Rockies Publishing,,false,2,2260001,2,3,1,0,1999/10/25,Western Montana,,0,0,1,0,0,3.00,,Paperback,,1,0,Rick Graetz,,,,,,1,0,,
2260501,8843547224,René Gruau: Un Riminese a Parigi,9788843547227,,,,ES,1994/12/31,Electa ,ita,false,1,2260501,4,3,1,1,,,book,0,0,1,0,0,3.00,128,Paperback,,1,1,René Gruau,,,,,,3,0,,
2261001,1576576558,The School Bus (A Picture Window Book),9781576576557,,,,ES,,,,false,1,2261001,4,7,2,0,2001/1/1,The School Bus (A Picture Window Book),,1,0,0,1,0,3.50,,,,2,0,Nancy Parent,,,,,,1,0,,childrens
2262001,0808908820,Brain Electrical Potentials and Individual Psychological Differences,9780808908821,,,,ES,,,,false,1,2262001,0,0,0,0,1975/1/1,Brain electrical potentials and individual psychological differences,,0,0,0,0,0,0.00,,,,0,0,Enoch Callaway,,,,,,,0,,
2263001,2251410147,L'Islande médiévale (Guide Belles lettres des civilisations),9782251410142,,,,ES,2002/1/1,Les Belles Lettres,fre,false,3,2263001,37,81,20,0,2001/1/1,L'Islande medievale (Guide Belles lettres des civilisations),book,6,9,5,0,0,4.05,272,Paperback,Guides Belles Lettres des civilisations,13,0,Régis Boyer,,,,,,12,0,1,"history,non-fiction"
2263501,2738484514,Approches Symboliques de La Musique D'Andre Jolivet: Musique Et Expression Du Sacre,9782738484512,,,,ES,,,,false,1,2263501,3,0,0,0,,Approches symboliques de la musique d'Andre Jolivet: Musique et expression du sacre (Collection Religion et sciences humaines),,0,0,0,0,0,0.00,,,,0,0,Gerard Moindrot,,,,,,2,0,,
2264001,0753122111,Dead Air,9780753122112,,,,ES,2005/8/1,Isis,,false,4,12006,8828,18388,5239,183,2002/1/1,Dead Air,book,772,1926,1865,553,123,3.51,,Audio CD,,0,0,Iain Banks,,,,,,2514,121,44,"british-literature,classics,contemporary,crime,drama,fiction,literary-fiction,literature,mystery,novels,science-fiction,thriller,unfinished"
2264501,050025107X,Classical Bearings: Interpreting Ancient History and Culture,9780500251072,,,,ES,1990/1/1,Thames & Hudson,,false,3,2573269,62,46,12,2,1990/1/1,Classical Bearings: Interpreting Ancient History and Culture,,4,4,3,0,1,3.83,328,Hardcover,,0,0,Peter Green,,,,,,40,5,1,history
2266501,0297823272,Wonderful Things: Uncovering the World's Greatest Archaeological Treasures,9780297823278,,,,ES,1999/6/24,,,false,2,11364398,24,33,8,0,1999/6/24,,book,2,5,1,0,0,4.12,255,,,3,0,Paul G. Bahn,,,,,,11,1,1,"art,history,non-fiction,reference"
2267001,0764326430,"Fences, Gates, and Walls",9780764326431,,,,ES,2007/4/27,Schiffer Publishing,,false,1,2267001,3,4,1,0,2007/4/1,"Fences, Gates and Walls",,0,1,0,0,0,4.00,128,Paperback,,1,0,E. Ashley Rooney,,,,,,1,0,,
2267501,1587200856,"CCNP Bsci Exam Certification Guide (CCNP Self-Study, 642-801)",9781587200854,,,,ES,2003/12/1,Cisco Press,,false,2,2267501,12,8,2,0,2003/1/1,"CCNP BSCI Exam Certification Guide (CCNP Self-Study, 642-801) (3rd Edition) (Exam Certification Guide)",,0,2,0,0,0,4.00,882,Hardcover,,2,0,Clare Gough,,,,,,2,0,,reference
2268001,0964153335,The Silver Star: A History of America's Third Highest Award for Combat Valor,9780964153332,,,,ES,2001/12/1,Borch and Westlake Pub,,false,1,2268001,0,0,0,0,2001/1/1,The silver star: A history of America's third highest award for combat valor,,0,0,0,0,0,0.00,259,Hardcover,,0,0,Frederic L. Borch,,,,,,,0,,
2269001,1404219633,Calcium,9781404219632,,,,ES,2007/9/1,Rosen Central,,false,2,2269001,1,3,1,1,2007/9/30,Calcium (Understanding the Elements of the Periodic Table),,0,0,1,0,0,3.00,48,Hardcover,,1,1,Greg Roza,,,,,,,0,,
2269501,1414506988,Mufti Of Jerusalem,9781414506982,,,,ES,,,,false,1,2269501,5,3,1,0,,Mufti of Jerusalem,,0,0,1,0,0,3.00,,,,1,0,Moshe Perlmann,,,,,,3,0,,history
2270001,0821762567,Beloved Embrace,9780821762561,,,,ES,1999/7/1,Zebra,,false,5,3404635,541,686,168,4,1987/7/1,Beloved Embrace,book,84,38,30,8,8,4.08,492,Paperback,,3,0,Cassie Edwards,,,,,,298,6,,"adventure,american,fiction,historical,historical-fiction,novels,romance"
2270501,0333347617,"Unquiet Souls: The Indian Summer Of The British Aristocracy, 1880 1918",9780333347614,,,,ES,,,,false,3,797839,99,96,23,6,1984/10/11,"Unquiet Souls: A Social History of the Illustrious, Irreverent, Intimate Group of British Aristocrats Known As ""the Souls""",book,9,9,5,0,0,4.17,,,,1,2,Angela Lambert,,,,,,65,6,1,"biography,historical-fiction,history,non-fiction"
2271001,1400023459,Hindi,9781400023455,,,,ES,2007/11/13,Living Language,,false,2,2271001,153,148,41,4,2007/11/13,Hindi: A Complete Course for Beginners (Book & 6 Audio CDs),,13,12,8,3,5,3.61,368,Hardcover,Large Print,41,4,Living Language,,,,,,35,4,9,"language,reference"
2271501,1417659491,"Kare Kano: His and Her Circumstances, Vol. 13",9781417659494,,,,ES,2005/1/1,Turtleback Books,,false,9,500443,1286,3521,850,11,2002/5/2,彼氏彼女の事情 #13,book,345,307,173,24,1,4.14,169,Hardcover,,3,0,Masami Tsuda,,,,,,139,24,2,"comics,drama,fiction,graphic-novels,high-school,humor,love,manga,picture-books,romance,school,teen,young-adult"
2272001,0865710317,Despair and Personal Power in the Nuclear Age,9780865710313,,,,ES,,,en-GB,false,2,2272001,70,77,17,2,1983/1/1,Despair and Personal Power in the Nuclear Age,,11,4,2,0,0,4.53,,,,15,2,Joanna Macy,,,,,,43,2,,"philosophy,psychology"
2272501,1419957082,"Male of the Species (Males of the Species, #1)",9781419957086,,,,ES,2005/11/1,Ellora's Cave,eng,false,3,2272501,556,946,277,20,2005/11/1,Male of the Species,book,45,94,88,31,19,3.42,208,Paperback,,257,19,Kate Steele,,,,,,196,8,1,"contemporary,erotica,fantasy,fiction,gay,lgbt,paranormal,romance,shapeshifters,supernatural,urban-fantasy,werewolves"
2273001,0156033976,The Far Traveler: Voyages of a Viking Woman,9780156033978,,,,ES,2008/10/6,Mariner Books,en-GB,false,6,1631447,2858,2709,726,180,2007/1/1,The Far Traveler: Voyages of a Viking Woman,book,168,281,208,52,17,3.73,320,Paperback,,73,19,Nancy Marie Brown,,,,,,1866,17,88,"adult,anthropology,biography,feminism,fiction,historical,historical-fiction,history,medieval,mythology,non-fiction,research,science,travel"
2273501,1852730668,How to Dress Dancers,9781852730666,,,,ES,2010/6/30,Dance Books Ltd,,false,3,1744484,4,0,0,0,2010/6/30,How to dress dancers,,0,0,0,0,0,0.00,144,Paperback,,0,0,Mary Kent Harrison,,,,,,1,0,,
2274001,1888237457,Pastorpreneur: Pastors and Entrepreneurs Answer the Call,9781888237450,,,,ES,2004/1/1,Baxter Press,,false,2,2274001,19,16,4,1,2003/7/31,,,2,0,2,0,0,4.00,224,Hardcover,,3,0,John  Jackson,,,,,,10,1,,religion
2274501,1933178221,What Do I Do Now?: A Guide for the Reluctant Catechist,9781933178226,,,,ES,2005/7/1,Pflaum Publishing Group,,false,1,2274501,4,5,1,0,2005/7/1,What Do I Do Now? A Guide for the Reluctant Catechist (Catechist Formation),,1,0,0,0,0,5.00,128,Paperback,,1,0,Dan Pierson,,,,,,2,0,,
2275501,8804429232,Un Bacio Nel Buio,9788804429234,,,,ES,,,,false,2,23588623,5,8,2,0,1999/1/1,Un bacio nel buio (Omnibus),book,1,0,1,0,0,4.00,,,,0,0,Silvana Giacobini,,,,,,,0,,
2276001,0060551542,"Words on the Page, the World in Your Hands: Prose and Poetry",9780060551544,,,,ES,1989/8/17,Harper Perennial,,false,3,2276005,4,0,0,1,1989/5/1,The Words on the Page: The World in Your Hands : Book 2 (Words on the Page),,0,0,0,0,0,0.00,144,Hardcover,,0,0,,,Catherine Lipkin,,,,3,0,,
2276501,2253005266,La Chartreuse de Parme,9782253005261,,,,ES,1983/1/1,LGF,fre,false,507,14680,29573,50461,13203,471,1839/3/1,La Chartreuse de Parme,book,4106,4460,3211,1032,394,3.82,786,Mass Market Paperback,,14,2,Stendhal,,,,,,13425,136,577,"adventure,classic-literature,classics,drama,european-literature,fiction,france,historical,historical-fiction,history,literary-fiction,literature,novels,romance,unfinished,war"
2277001,190496513X,The Renaissance Villa in Britain 1500-1700,9781904965138,,,,ES,2007/9/1,Spire Books Ltd,,false,1,2277001,1,0,0,0,2007/8/30,The Renaissance Villa in Britain 1500 - 1700,,0,0,0,0,0,0.00,276,Hardcover,,0,0,Malcolm Airs,,,,,,1,0,,
2277501,0975315013,Antisemitism in Europe: Challenging Official Indifference,9780975315019,,,,ES,,,,false,1,2277501,3,0,0,0,2004/5/1,Antisemitism in Europe: Challenging Official Indifference,,0,0,0,0,0,0.00,,,,0,0,Michael McClintock,,,,,,2,0,,
2278001,0967459702,Thoughts From the Heart,9780967459707,,,,ES,,,,false,1,2278001,0,0,0,0,1999/11/1,Thoughts From the Heart,,0,0,0,0,0,0.00,,,,0,0,Charles S. Haddad,,,,,,,0,,
2278501,0818503300,Human Experimental Psychology,9780818503306,,,,ES,,,,false,1,2278501,2,2,1,0,1997/12/1,Human Experimental Psychology,,0,0,0,1,0,2.00,,,,1,0,Margaret W. Matlin,,,,,,2,0,,
2279001,0874172578,Wild Game: (A Novel),9780874172577,,,,ES,1995/4/1,University of Nevada Press,,false,1,2279001,9,7,2,1,1995/4/1,Wild Game (Western Literature),,0,1,1,0,0,3.50,336,Hardcover,,2,1,Frank Bergon,,,,,,3,0,1,"fiction,history"
2279501,1882330757,The Garaganizer,9781882330751,,,,ES,,,,false,1,2279501,0,0,0,0,2004/7/1,The Garaganizer,,0,0,0,0,0,0.00,,,,0,0,Della Sheffield,,,,,,,0,,
2280001,0044450869,The Macroeconomy: A Guide For Business,9780044450863,,,,ES,,,,false,4,2280001,2,0,0,0,1992/10/1,The Macro Economy: A Guide for Business,,0,0,0,0,0,0.00,,,,0,0,"Keith Cuthbertson,Peter Gripaios",,,,,,2,0,,
2280501,1401074227,I Want a Hot Fudge Sundae.... and a Diet Cola,9781401074227,,,,ES,2002/10/28,Xlibris Corporation,,false,2,2280501,0,0,0,0,2002/10/23,I Want a Hot Fudge Sundae.... and a Diet Cola,,0,0,0,0,0,0.00,168,Paperback,,0,0,Miriam Grace Mitchell,,,,,,,0,,
2281001,1899955038,C Flight Line Book,9781899955039,,,,ES,,Square One Publications,,false,1,2281001,1,2,1,0,,"The "" C"" Flight Line Book",,0,0,0,1,0,2.00,,,,1,0,Anthony Hobson,,,,,,,0,,
2281501,063204814X,Ethics And Values For Care Workers,9780632048144,,,,ES,1998/3/13,Wiley-Blackwell,,false,1,2281501,0,0,0,0,1998/3/13,Ethics and Values for Care Workers,,0,0,0,0,0,0.00,160,Paperback,,0,0,G. V. Tadd,,,,,,,0,,
2282001,0809245876,The I-Quit Smoking Diet/the Revolutionary 21-Day Plan That Lets You Stop Smoking Without Gaining Weight,9780809245871,,,,ES,1988/6/15,McGraw-Hill/Contemporary,,false,1,2282001,1,0,0,0,1988/6/1,The I-Quit Smoking Diet/the Revolutionary 21-Day Plan That Lets You Stop Smoking Without Gaining Weight,,0,0,0,0,0,0.00,174,Hardcover,,0,0,Janice Alpert,,,,,,,0,,
2282501,,خدای لاغر و رنگ پریده,,,,,ES,2007/1/1,,,false,1,2282501,8,10,3,0,2007/1/1,خدای لاغر و رنگ پریده,,1,0,1,1,0,3.33,,,,3,0,"حسین شهرابی,مایک رسینک",,,,,,4,0,,science-fiction
2283501,0263166872,The Taming of Tyler Kincaid,9780263166873,,,,ES,2000/7/31,Thorndike Press,,false,16,490224,205,314,86,10,2000/6/1,The Taming of Tyler Kincaid,book,22,23,34,3,4,3.65,288,Hardcover,Large Print,0,0,Sandra Marton,,,,,,74,7,1,"harlequin,romance"
2284001,0440060370,One Special Summer,9780440060376,,,,ES,1974/1/1,,,false,3,570728,742,893,228,35,,One Special Summer,book,69,90,52,15,2,3.92,,,,4,1,"Jacqueline Bouvier,Jacqueline Kennedy Onassis,Lee Bouvier,Lee Radziwill",,,,,,464,2,2,"art,autobiography,biography,biography-memoir,childrens,fiction,graphic-novels,historical-fiction,history,memoir,non-fiction,picture-books,travel"
2284501,0141181842,Death & Fame: Poems 1993 1997,9780141181844,,,,ES,,Penguin,,false,5,655782,691,1546,407,33,2009/1/1,Death and Fame: Last Poems 1993-97,book,121,133,113,30,10,3.80,,,,2,0,Allen Ginsberg,,,,,,186,8,4,"adult,american,canon,classics,collections,fiction,gay,history,lgbt,literature,non-fiction,poetry"
2285001,0439987326,"A Strange Case Of Magic (Barnes and The Brains, #2)",9780439987325,,,,ES,,,,false,6,2285001,60,80,23,1,1993/1/1,A Strange Case of Magic,book,4,8,6,5,0,3.48,,,,20,1,Kenneth Oppel,,,,,,31,2,,"childrens,fiction"
2285501,0415133637,"Companion to literary myths, heroes and archetypes",9780415133630,,,,ES,1995/11/1,Routledge,,false,6,2285501,38,23,5,1,1988/1/1,Dictionnaire des mythes littéraires,book,3,2,0,0,0,4.60,1223,Paperback,,2,0,,,,Pierre Brunel,"Judith Hayward,Trista Selous,Wendy Allatson",,27,1,2,mythology
2286001,0802115705,The Hite Report on the Family: Growing Up Under Patriarchy,9780802115706,,,,ES,1995/5/1,Grove/Atlantic,,false,6,44466,95,144,37,1,1994/3/4,The Hite Report on the Family: Growing Up Under Patriarchy,,12,14,6,5,0,3.89,424,Hardcover,,2,1,Shere Hite,,,,,,41,0,2,"american,anthropology,family,feminism,health,memoir,non-fiction,parenting,relationships,research,society,sociology"
2286501,8820717646,La donna e la sua ombra: Maschile e femminile nella donna di oggi,9788820717643,,,,ES,1989/1/6,Liguori,ita,false,1,2286501,6,5,1,1,1989/1/1,La donna e la sua ombra: Maschile e femminile nella donna di oggi (Inconscio e cultura),book,1,0,0,0,0,5.00,190,Paperback,,1,1,Silvia Di Lorenzo,,,,,,3,0,,
2287001,141603529X,Medical Clinics of North America Volume 91 Nanomedicine: Issue Number 5,9781416035299,,,,ES,2007/9/1,Saunders,,false,1,2287001,2,0,0,0,2007/9/28,"Nanomedicine, Medical Clinics of North America",,0,0,0,0,0,0.00,218,Hardcover,,0,0,,,,Chiming Wei,,,2,0,,
2287501,0781793823,Obstetrics and Gynecology (Canadian Version),9780781793827,,,,ES,2007/9/1,Lippincott Williams & Wilkins,,false,25,479509,224,274,72,12,1992/1/1,Obstetrics and Gynecology,book,18,29,20,3,2,3.81,850,Paperback,,0,0,"Charles R.B. Beckmann,Frank W. Ling,Roger P. Smith",,,,,,91,2,15,"health,medical,reference,science,textbooks"
2288001,1402723598,Classic Mind Benders,9781402723599,,,,ES,,,,false,1,2288001,5,0,0,0,2005/1/30,Classic Mind Benders,,0,0,0,0,0,0.00,,,,0,0,Terry H. Stickels,,,,,,3,0,,
2288501,1905470029,Jim Jazz Mouse And Carla Clarinet (Woodwind And Brass),9781905470020,,,,ES,,,,false,1,2288501,0,0,0,0,,JimJAZZ Mouse and Carla Clarinet (Woodwind and Brass),book,0,0,0,0,0,0.00,,,,0,0,David Pierce Hughes,,,,,,,0,,
2289001,0974128708,Slave Graves,9780974128702,,,,ES,2000/9/5,Happy Bird Corporation,,false,8,22927855,1935,1909,493,54,2000/9/5,Slave Graves,book,172,162,103,36,20,3.87,316,Paperback,,6,4,Thomas Hollyday,,,,,,608,16,629,"history,mystery,romance,thriller"
2290001,,Osama is Learning,,,,,ES,2005/1/1,Dar Almoalef,,false,1,2290001,1,5,1,1,2005/1/1,Osama is Learning,,1,0,0,0,0,5.00,24,paper back,,1,1,Iman Alkhateeb,,,,,,,0,,
2290501,0965415112,An amateur botanist's identification manual for the shrubs and trees of the southern California coastal region and mountains,9780965415118,,,,ES,,,,false,1,2290501,2,9,2,0,1996/1/1,An amateur botanist's identification manual for the shrubs and trees of the southern California coastal region and mountains,,1,1,0,0,0,4.50,,,,2,0,"Betty B. Rose,Jim W. Dole",,,,,,,0,,
2291001,156101222X,Facets of Faith: Living the Dimentions of Christian Spirituality,9781561012220,,,,ES,2003/5/25,Cowley Publications,,false,1,2291001,5,4,1,0,2003/5/25,Facets of Faith: Living the Dimentions of Christian Spirituality,,0,1,0,0,0,4.00,248,Paperback,,1,0,W. Paul Jones,,,,,,1,0,,
2291501,8520802427,O Cavalo Que Proclamou a Republica,9788520802427,,,,ES,,,,false,1,2291501,0,0,0,0,,O cavalo que proclamou a republica,,0,0,0,0,0,0.00,,,,0,0,M. Pio Correa,,,,,,,0,,
2292001,0761328270,Anxiety Disorders,9780761328278,,,,ES,2006/4/1,Twenty-First Century Books (CT),,false,2,2292001,12,10,4,1,2005/12/15,Anxiety Disorders (Twenty-First Century Medical Library),,0,1,0,3,0,2.50,96,Hardcover,,3,0,Bruce M. Hyman,,,,,,6,0,,
2292501,1580081274,Ladder to the Clouds: Intrigue and Tradition in Chinese Rank,9781580081276,,,,ES,2000/2/1,Ten Speed Press,eng,false,2,2292501,13,23,5,0,2000/2/1,Ladder to the Clouds,book,3,2,0,0,0,4.60,320,Hardcover,,5,0,Beverley Jackson,,,,,,6,0,,
2293001,0786417102,"Nations, Language and Citizenship",9780786417100,,,,ES,2004/2/13,McFarland & Company,,false,2,2293001,8,11,3,0,2004/2/20,"Nations, Language and Citizenship",,1,1,0,1,0,3.67,282,Paperback,,3,0,Norman Berdichevsky,,,,,,4,1,,literature
2293501,1434628825,Shock and Awe,9781434628824,,,,ES,2008/5/29,BiblioLife,,false,16,2293501,31,19,6,3,1996/1/1,Shock & Awe,,1,2,1,1,1,3.17,136,Paperback,,2,2,Harlan Ullman,,,,,,21,0,,politics
2294001,2020093944,exil partagé,9782020093941,,,,ES,1986/11/1,Seuil,,false,8,1457998,50,61,17,1,1986/1/1,Alone Together,book,3,5,8,1,0,3.59,321,,,1,0,Elena Bonner,,,,,,19,1,,"biography,history,politics,science"
2294501,006093784X,The Stories of Paul Bowles,9780060937843,,,,ES,2003/6/3,Harper Perennial,,false,8,12046,2465,4321,1005,63,2001/10/2,The Stories of Paul Bowles,book,476,384,118,24,3,4.30,672,Paperback,,26,2,Paul Bowles,,,,,,1209,8,96,"american,anthologies,contemporary,fiction,historical-fiction,literary-fiction,literature,short-stories"
2295501,0340908335,His Light in Our Darkness: An Anthology of Praise,9780340908334,,,,ES,2005/7/1,Hodder & Stoughton,,false,5,2295501,9,19,4,2,2005/7/1,His Light in Our Darkness: An Anthology of Praise,,3,1,0,0,0,4.75,256,Hardcover,,4,2,Fiona Castle,,,,,,3,0,,christian
2296001,0977261212,Three Came Home,9780977261215,,,,ES,2006/12/1,Three Came Home,,false,2,2296001,12,11,3,0,2005/10/1,Three Came Home,,1,1,0,1,0,3.67,316,Hardcover,,3,0,Edward Aronoff,,,,,,7,1,,
2296501,0917724259,Family Medicine: A New Approach to Health Care,9780917724251,,,,ES,1982/1/1,Routledge,,false,4,2296501,0,0,0,0,1982/1/1,Family Medicine: A New Approach to Health Care,,0,0,0,0,0,0.00,187,Hardcover,,0,0,,,,Betty E. Cogswell,,,,0,,
2297001,004613042X,Challenge Of Homoeopathy,9780046130428,,,,ES,,,,false,1,2297001,9,5,2,0,,Challenge of Homoeopathy,,0,0,1,1,0,2.50,,,,2,0,Margery G. Blackie,,,,,,8,0,,medical
2298001,0471960810,"International Intellectual Property Law, New Development",9780471960812,,,,ES,1996/3/19,Wiley,,false,1,2298001,0,0,0,0,1996/3/5,"New Development, International Intellectual Property Law",,0,0,0,0,0,0.00,418,Hardcover,,0,0,,,,Dennis Campbell,,,,0,,
2298501,0091907039,How to Change Your Life in 7 Steps,9780091907037,,,,ES,2006/3/2,Vermilion,,false,6,2298501,203,374,100,16,2006/3/1,How to Change Your Life in 7 Steps,book,25,36,30,6,3,3.74,96,Paperback,,92,16,John Bird,,,,,,73,10,6,"biography,essays,health,non-fiction,psychology,self-help"
2299001,3551515581,Petzi rettet Prinzessin Nana,9783551515582,,,,ES,2001/7/1,Carlsen,ger,false,1,2299001,2,7,2,0,2001/7/1,Petzi rettet Prinzessin Nana (Bilderbücher),book,0,1,1,0,0,3.50,32,Hardcover,,2,0,"Carla Hansen,Claes D. Voss,Per Sanderhage",Vilhelm Hansen,,,,,,0,,
